,,,,,,,,
,,,,Red Nacional de Acelerografos de Colombia,,,,
,,,,,,,,
Parametros de Consulta,,,,,,,,
Fecha Incial,01/06/1993,Municipio,04/01/2018,,,,,
Latitud Minima,-5,Latitud Maxima,14,,,,,
Longitud Minima,-90,Longitud Maxima,-66,,,,,
Magnitud Minima,0,Magnitud Maxima,9,,,,,
Profundidad Minima,0,Profundidad Maxima,700,,,,,
Total Registros,1834,,,,,,,
,,,,,,,,
Sismicidad Registrada,,,,,,,,
Fecha,Hora_UTC,Departamento,Municipio,Latitud(Grados),Longitud(Grados),Profunidad(Km),Magnitud(Ml),Magnitud(Mw)
1998/05/21,11:26:35,SANTANDER,CIMITARRA,6.242,-73.947,4,4.6,
1998/05/22,19:19:59,CHOCO,BAHIA SOLANO,6.268,-77.514,1.1,3.6,
1998/05/25,02:17:56,SANTANDER,LOS SANTOS,6.828,-73.117,163.7,5.3,
1998/06/06,23:22:02,SANTANDER,LOS SANTOS,6.83,-73.129,154.2,4.8,
1998/06/07,22:00:20,SANTANDER,LOS SANTOS,6.807,-73.05,152.9,3.2,
1998/06/12,23:01:31,CHOCO,ALTO BAUDO,5.42,-76.96,.1,3.4,
1998/06/12,17:09:16,VALLE DEL CAUCA,BUENAVENTURA,3.673,-77.175,4,3.2,
1998/06/18,22:20:00,SANTANDER,LOS SANTOS,6.804,-73.089,164,4.5,
1998/06/22,07:03:13,CAUCA,SUAREZ,2.758,-76.85,136.5,4.9,
1998/06/23,01:36:35,BOLIVAR,CARTAGENA DE INDIAS,10.695,-76.399,14,5.7,
1998/07/18,23:51:31,NARINO,RICAURTE,1.314,-77.923,0,4.6,
1998/07/19,00:04:47,NARINO,RICAURTE,1.354,-77.889,0,3.1,
1998/07/20,14:02:12,CHOCO,JURADO,6.756,-77.452,10,4.2,
1998/07/21,20:07:36,NARINO,MALLAMA,1.1871,-77.8159,2.9,4,
1998/07/25,09:47:51,BOYACA,PISVA,5.851,-72.577,.3,3.2,
1998/08/02,02:05:57,NARINO,CUMBAL,.8723,-77.7847,4.1,4.4,
1998/08/04,17:35:03,ZONA GEOGRAFICA ESPECIAL,EL OCEANO PACIFICO,-.5307,-80.4863,4.1,5.7,
1998/08/04,18:59:18,ZONA GEOGRAFICA ESPECIAL,EL OCEANO PACIFICO,-.5474,-80.5341,3.5,6.2,
1998/08/12,04:49:48,SANTANDER,LOS SANTOS,6.837,-73.072,160.7,4.7,
1998/08/13,09:50:02,SANTANDER,LOS SANTOS,6.841,-73.058,153.2,4.1,
1998/08/20,19:41:24,SANTANDER,LOS SANTOS,6.827,-73.119,157.9,4.8,
1998/08/25,08:06:24,SANTANDER,VILLANUEVA,6.74,-73.18,150,4.5,
1998/08/27,06:58:18,HUILA,ACEVEDO,1.908,-75.895,2.2,3.8,
1998/09/02,07:12:42,SANTANDER,LOS SANTOS,6.843,-73.122,150,4.8,
1998/09/03,03:37:11,SANTANDER,LOS SANTOS,6.798,-73.077,155,4.9,
1998/09/09,05:20:33,SANTANDER,ZAPATOCA,6.819,-73.209,150,4.9,
1998/09/15,20:43:56,ANTIOQUIA,VIGIA DEL FUERTE,6.646,-76.637,0,4,
1998/09/19,17:19:38,TOLIMA,RIOBLANCO,3.659,-75.695,0,4.1,
1998/09/19,06:15:31,ANTIOQUIA,VIGIA DEL FUERTE,6.657,-76.853,0,4.9,
1998/09/19,05:12:38,ANTIOQUIA,VIGIA DEL FUERTE,6.597,-76.839,0,4.2,
1998/09/22,14:34:17,SANTANDER,LOS SANTOS,6.841,-73.109,150,3.7,
1998/09/29,02:38:09,SANTANDER,JORDAN,6.72,-73.091,150,4.9,
1998/10/08,04:36:06,SANTANDER,VILLANUEVA,6.741,-73.172,146,4.8,
1998/10/26,21:55:52,SANTANDER,LOS SANTOS,6.774,-73.177,148.8,5.4,
1998/10/28,21:22:07,BOYACA,PAIPA,5.786,-73.093,0,2.9,
1998/12/03,16:05:01,SANTANDER,EL CARMEN,6.764,-73.661,12.1,2.6,
1998/12/04,03:39:56,SANTANDER,JORDAN,6.746,-73.09,160,5.5,
1998/12/10,06:17:43,SANTANDER,LOS SANTOS,6.787,-73.178,148.8,5.1,
1998/12/24,09:11:18,ARAUCA,SARAVENA,7.463,-71.834,76,4.2,
1999/01/14,12:20:14,SANTANDER,LOS SANTOS,6.79,-73.158,152.3,5.2,
1999/01/25,18:19:18,QUINDIO,CORDOBA,4.439,-75.698,0,6.3,
1999/01/27,14:06:38,SANTANDER,LOS SANTOS,6.812,-73.178,150,5.4,
1999/01/30,12:24:28,QUINDIO,CORDOBA,4.417,-75.715,7.1,4.2,
1999/02/12,01:21:01,CUNDINAMARCA,GUAYABETAL,4.147,-73.851,0,3.5,
1999/02/21,22:06:14,NORTE DE SANTANDER,EL ZULIA,8.162,-72.523,8,4.3,
1999/02/24,12:24:41,BOYACA,CUBARA,7.334,-72.011,82,4.2,
1999/02/25,15:37:18,QUINDIO,CORDOBA,4.417,-75.694,7.4,4.2,
1999/02/27,01:12:03,SANTANDER,CEPITA,6.843,-73.02,180,5.3,
1999/03/18,23:54:14,CESAR,AGUSTIN CODAZZI,10.066,-73.555,97.5,5.8,
1999/03/22,23:01:50,HUILA,AGRADO,2.198,-75.838,.8,2.5,
